no,co,s,l,r,b,le,sa,t,ra,si
11.S941,11,['l'],"[[[[79, 4]], '9-450A']]",[],[],G,,['SP'],6,15
11.S942,11,[],[],[],[],G,,"['FA', 'SP']",6.4,7.5
11.S944,11,['l'],"[[[[17, 3], [77, 3]], 'ROO']]",[],[],G,,"['FA', 'SP']",5.4,8
11.S945,11,['l'],"[[[[33, 3], [93, 3]], '9-451']]",[],[],G,,"['FA', 'SP']",6.3,9
11.S946,11,['l'],"[[[[42, 6]], '9-255']]",[],[],G,,['SP'],5.8,11
11.S951,11,['l'],"[[[[124, 6]], '9-217']]",[],[],G,,"['FA', 'SP']",6.1,14
11.S965,11,[],[],[],[],G,,"['FA', 'JA', 'SU', 'SP']",6.3,12
11.S966,11,[],[],[],[],G,,"['FA', 'JA', 'SU', 'SP']",7,2
11.S967,11,[],[],[],[],G,,"['FA', 'JA', 'SU', 'SP']",6.6,21.3
11.S968,11,['l'],"[[[[132, 3]], '9-357']]",[],[],G,,"['FA', 'JA', 'SU', 'SP']",6.4,17
11.S969,11,[],[],[],[],G,,"['FA', 'JA', 'SU', 'SP']",6.1,12.8
11.S970,11,['l'],"[[[[6, 3]], '4-145']]",[],[],G,,"['FA', 'SP']",5.8,7.3
11.THG,11,['l'],"[[[[92, 4]], '32-155']]",[],[],G,,"['FA', 'JA', 'SU', 'SP']",4.8,110.8
11.THU,11,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
11.UR,11,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
11.URG,11,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
12,12,['l'],"[[[[42, 4]], '54-824']]",[],[],U,,['SP'],7,3
12.002,12,['l'],"[[[[69, 3], [129, 3]], '66-154']]",[],[],U,,['SP'],5.4,8.5
12.007,12,['l'],"[[[[36, 3], [96, 3]], '54-819']]",[],[],U,,['SP'],4.9,20
12.011,12,['l'],"[[[[22, 6]], '6-120']]",[],[],U,"3.985, 5.24",['SP'],5.8,127
12.08,12,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
12.09,12,['l'],"[[[[133, 3]], '56-169']]",[],[],U,,"['FA', 'SP']",4,1
12.094,12,['l'],"[[[[36, 3], [96, 3]], '1-136']]",[],[],U,,['SP'],0,0
12.110B,12,['l'],"[[[[13, 3], [73, 3]], '54-824']]",[],[],U,,['SP'],5.2,6
12.116,12,['b'],[],[],"[[[[68, 4]], '54-1029']]",U,,['SP'],3,3
12.12,12,['l'],"[[[[133, 2]], '54-824']]",[],[],U,,['SP'],6.6,16
12.203,12,"['b', 'l']","[[[[10, 3], [70, 3]], '54-819']]",[],"[[[[44, 4]], '54-819']]",U,,['SP'],0,0
12.207,12,['l'],"[[[[36, 3], [96, 3]], '2-143']]",[],[],U,"1.062, 18.354",['SP'],6.1,11.5
12.306,12,['l'],"[[[[43, 3], [103, 3]], '1-134']]",[],[],U,,['SP'],5.5,4
12.307,12,['b'],[],[],"[[[[43, 4], [103, 4]], '54-1623']]",U,,['SP'],5.6,6.5
12.33,12,['l'],"[[[[43, 3], [103, 3]], '37-212']]",[],[],U,8.292,['SP'],0,0
12.349,12,['l'],"[[[[4, 3], [64, 3]], '54-819']]",[],[],U,,['SP'],6.2,7.5
12.386,12,['l'],"[[[[67, 3], [127, 3]], 'E51-385']]",[],[],U,"21H.185, STS.031",['SP'],6.2,13.3
12.4,12,['l'],"[[[[44, 3], [104, 3]], '56-169']]",[],[],U,,['SP'],0,0
12.402,12,['l'],"[[[[40, 3], [100, 3]], '4-231']]",[],[],U,8.282,['SP'],5.6,25.5
12.409,12,"['l', 'b']","[[[[46, 2]], '37-212']]",[],"[[[[82, 6]], '37-294'], [[[22, 6]], '37-294']]",U,,['SP'],6.7,36.5
12.431,12,['b'],[],[],"[[[[42, 6], [102, 6]], '48-316']]",U,16.831,['SP'],4.9,21
12.446,12,[],[],[],[],G,,"['FA', 'SP']",0,0
12.465B,12,['l'],"[[[[13, 3], [73, 3]], '54-824']]",[],[],G,,['SP'],5.2,6
12.467,12,['l'],"[[[[46, 4]], '54-824']]",[],[],G,,['SP'],3.5,3
12.48,12,['l'],"[[[[36, 3], [96, 3]], '66-154']]",[],[],G,,['SP'],5.5,5
12.503,12,"['b', 'l']","[[[[10, 3], [70, 3]], '54-819']]",[],"[[[[44, 4]], '54-819']]",G,,['SP'],0,0
12.512,12,['b'],[],[],"[[[[102, 4]], '54-209']]",G,,['SP'],6,8
12.54,12,['l'],"[[[[6, 3], [66, 3], [126, 3]], '54-824']]",[],[],G,,['SP'],7,3
12.739,12,['l'],"[[[[40, 3], [100, 3]], '54-819']]",[],[],G,,['SP'],6.2,14.5
12.74,12,['l'],"[[[[12, 4], [72, 4], [132, 4]], '54-823']]",[],[],G,,['SP'],0,0
12.746,12,['l'],"[[[[35, 3], [95, 3]], '54-824']]",[],[],G,,['SP'],6,5
12.752,12,"['l', 'b']","[[[[40, 3]], '54-827']]",[],"[[[[46, 3]], '54-827']]",G,,['SP'],6.8,4
12.753,12,"['l', 'b']","[[[[40, 3]], '54-827']]",[],"[[[[46, 3]], '54-827']]",G,,['SP'],6.2,5
12.759,12,['l'],"[[[[43, 3]], '54-827']]",[],[],G,,['SP'],5.8,15
12.801,12,['l'],"[[[[5, 3], [65, 3]], '54-823']]",[],[],G,,['SP'],6.7,6.5
12.802,12,['l'],"[[[[40, 3], [100, 3]], '54-823']]",[],[],G,,['SP'],5.2,4
12.806,12,['l'],"[[[[43, 3], [103, 3]], '1-134']]",[],[],G,10.571,['SP'],5.5,4
12.81,12,['l'],"[[[[35, 3], [95, 3]], '54-824']]",[],[],G,,['SP'],6.5,8.5
12.82,12,['l'],"[[[[13, 3], [73, 3]], '54-824']]",[],[],G,,['SP'],5.3,7
12.834,12,['l'],"[[[[16, 2], [76, 2]], '48-308']]",[],[],G,1.713,['SP'],0,0
12.849,12,['l'],"[[[[4, 3], [64, 3]], '54-819']]",[],[],G,,['SP'],6.2,7.5
12.85,12,['l'],"[[[[35, 3], [125, 3]], '54-823']]",[],[],G,,['SP'],6.2,7
12.95,12,[],[],[],[],G,,['SP'],0,0
12.97,12,[],[],[],[],G,,"['FA', 'SU', 'SP']",0,0
12.971,12,[],[],[],[],G,,"['FA', 'SU', 'SP']",0,0
12.98,12,[],[],[],[],G,,"['FA', 'SU', 'SP']",0,0
12.981,12,[],[],[],[],G,,"['FA', 'SU', 'SP']",0,0
12.982,12,[],[],[],[],G,,"['FA', 'SU', 'SP']",0,0
12.983,12,[],[],[],[],G,,"['FA', 'SU', 'SP']",0,0
12.S491,12,[],[],[],[],G,,['SP'],3.6,4
12.S493,12,['l'],"[[[[105, 3]], 'E25-605']]",[],[],G,,['SP'],7,2
12.S590,12,['l'],"[[[[36, 3], [96, 3]], '1-136']]",[],[],G,,['SP'],0,0
12.S591,12,['l'],"[[[[12, 4]], '54-209']]",[],[],G,,"['FA', 'SP']",6,1
12.S592,12,['l'],"[[[[122, 4]], '56-162']]",[],[],G,,['SP'],5.4,4.5
12.S593,12,[],[],[],[],G,,"['FA', 'JA', 'SP']",6.6,6
12.S597,12,['l'],"[[[[133, 3]], '56-169']]",[],[],G,,"['FA', 'JA', 'SP']",5.9,12
12.S680,12,['l'],"[[[[92, 3]], '56-169']]",[],[],G,,['SP'],6,7
12.THG,12,[],[],[],[],G,,"['FA', 'JA', 'SU', 'SP']",6.2,74.4
12.THU,12,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
12.TIP,12,[],[],[],[],U,,"['FA', 'SP']",4.2,7
12.UR,12,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
12.URG,12,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
14.001,14,[],[],[],[],G,,"['FA', 'SU', 'SP']",0,0
14.003,14,"['r', 'l']","[[[[2, 3], [62, 3]], '32-155']]","[[[[124, 2]], '2-147'], [[[122, 2]], '2-147']]",[],G,,"['FA', 'SP']",6,45
14.01,14,"['l', 'r']","[[[[10, 2], [70, 2]], '32-123']]","[[[[132, 2]], '1-190'], [[[124, 2]], '4-237'], [[[130, 2]], '1-190'], [[[128, 2]], '4-163']]",[],U,,"['FA', 'SP']",5.4,205.4
14.02,14,"['r', 'l']","[[[[12, 2], [72, 2]], '32-123']]","[[[[134, 2]], '4-370'], [[[132, 2]], '4-370']]",[],U,,"['FA', 'SP']",5.2,161.8
14.03,14,"['r', 'l']","[[[[2, 3], [62, 3]], '32-155']]","[[[[124, 2]], '2-147'], [[[122, 2]], '2-147']]",[],U,,"['FA', 'SP']",6,45
14.08,14,[],[],[],[],U,,"['FA', 'SP']",0,0
14.09,14,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
14.1,14,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
14.123,14,"['l', 'r']","[[[[40, 3], [100, 3]], 'E51-151']]","[[[[130, 3]], 'E51-151']]",[],G,,['SP'],5.3,31.5
14.124,14,"['l', 'r']","[[[[40, 3], [100, 3]], 'E51-151']]","[[[[130, 3]], 'E51-151']]",[],G,,['SP'],6.3,31
14.125,14,"['l', 'r']","[[[[35, 3], [95, 3]], 'E51-151']]","[[[[76, 3]], 'E51-149']]",[],G,,['SP'],6.5,10.5
14.126,14,"['l', 'r']","[[[[10, 3], [70, 3]], 'E51-372']]","[[[[128, 2]], 'E51-372']]",[],G,,['SP'],6.2,9.5
14.13,14,"['l', 'r']","[[[[32, 3], [92, 3]], '32-123']]","[[[[126, 2]], '4-370'], [[[128, 2]], '4-370']]",[],U,,['SP'],6.6,57
14.131,14,"['l', 'r']","[[[[32, 3], [92, 3]], '32-123']]","[[[[128, 2]], '4-370'], [[[126, 2]], '4-370']]",[],G,,['SP'],0,0
14.137,14,['l'],"[[[[76, 6]], 'E52-164']]",[],[],G,9.822,['SP'],6.7,8
14.147,14,['l'],"[[[[64, 4]], 'E52-532']]",[],[],G,,['SP'],6.5,6.7
14.15,14,"['l', 'r']","[[[[13, 3], [73, 3]], 'E51-376']]","[[[[134, 2]], 'E51-376']]",[],U,6.207,['SP'],3.8,28
14.15,14,"['r', 'l']","[[[[13, 3], [73, 3]], 'E51-376']]","[[[[134, 2]], 'E51-376']]",[],G,,['SP'],0,0
14.16,14,"['l', 'r']","[[[[40, 3], [100, 3]], 'E51-372']]","[[[[130, 2]], 'E51-372']]",[],U,,['SP'],5.2,17
14.16,14,"['r', 'l']","[[[[49, 3], [109, 3]], 'E51-376']]","[[[[136, 3]], 'E51-376']]",[],G,,['SP'],6.6,13
14.18,14,['l'],"[[[[13, 3], [73, 3]], 'E51-372']]",[],[],U,,['SP'],7,3
14.191,14,[],[],[],[],G,,"['FA', 'JA', 'SU', 'SP']",0,0
14.192,14,['l'],"[[[[92, 3]], 'E52-432']]",[],[],G,,"['FA', 'JA', 'SP']",4,21
14.193,14,[],[],[],[],G,,"['FA', 'SU', 'SP']",0,0
14.195,14,[],[],[],[],G,,"['FA', 'SU', 'SP']",0,0
14.197,14,[],[],[],[],G,,"['FA', 'JA', 'SU', 'SP']",6,3
14.198,14,[],[],[],[],G,,"['FA', 'SP']",0,0
14.199,14,[],[],[],[],G,,"['FA', 'SP']",0,0
14.2,14,"['r', 'l']","[[[[10, 3], [70, 3]], 'E51-151']]","[[[[132, 2]], 'E51-372']]",[],U,,['SP'],6.4,15
14.2,14,"['r', 'l']","[[[[10, 3], [70, 3]], 'E51-151']]","[[[[132, 2]], 'E51-372']]",[],G,,['SP'],0,0
14.26,14,"['r', 'l']","[[[[35, 3], [95, 3]], 'E51-149']]","[[[[126, 2]], 'E51-149']]",[],U,15.039,['SP'],5.8,53
14.26,14,"['r', 'l']","[[[[35, 3], [95, 3]], 'E51-149']]","[[[[126, 2]], 'E51-149']]",[],G,,['SP'],0,0
14.27,14,"['r', 'l']","[[[[5, 3], [65, 3]], 'E51-151']]","[[[[128, 2]], 'E51-376']]",[],U,,['SP'],6.3,27
14.27,14,"['r', 'l']","[[[[5, 3], [65, 3]], 'E51-151']]","[[[[128, 2]], 'E51-376']]",[],G,,['SP'],0,0
14.272,14,['l'],"[[[[63, 5]], 'E62-687']]",[],[],G,,['SP'],5.8,5
14.273,14,"['l', 'r']","[[[[46, 3], [106, 3]], 'E51-376']]","[[[[132, 4]], 'E51-145']]",[],G,,['SP'],6.2,12.5
14.283,14,['l'],"[[[[40, 3], [100, 3]], 'E62-550']]",[],[],G,,['SP'],7,4
14.284,14,['l'],"[[[[40, 3], [100, 3]], 'E62-550']]",[],[],G,,['SP'],6.7,3
14.32,14,"['r', 'l']","[[[[35, 3], [95, 3]], 'E51-395']]","[[[[126, 2]], '3-270']]",[],U,,"['FA', 'SP']",6,45.2
14.32,14,"['r', 'l']","[[[[35, 3], [95, 3]], 'E51-395']]","[[[[106, 2]], 'E51-372']]",[],G,,"['FA', 'SP']",5.8,52.3
14.33,14,['l'],"[[[[13, 3], [73, 3]], 'E51-057']]",[],[],U,,"['FA', 'SP']",6.6,13.4
14.38,14,"['r', 'l']","[[[[5, 3], [65, 3]], 'E51-145']]","[[[[125, 3]], 'E51-145']]",[],U,,['SP'],0,0
14.382,14,"['r', 'l']","[[[[13, 3], [73, 3]], 'E51-149']]","[[[[133, 3]], 'E51-151']]",[],G,,['SP'],5.5,54.5
14.386,14,['l'],"[[[[46, 4]], 'E51-372']]",[],[],G,,['SP'],6.5,5
14.388,14,"['l', 'r']","[[[[5, 3], [65, 3]], 'E51-145']]","[[[[125, 3]], 'E51-145']]",[],G,,['SP'],0,0
14.392,14,['r'],[],"[[[[13, 3]], 'E51-395'], [[[106, 4]], 'E51-151'], [[[106, 3]], 'E52-532'], [[[16, 4]], 'E52-164'], [[[46, 4]], 'E52-432'], [[[73, 3]], 'E51-395'], [[[17, 3]], 'E52-324'], [[[43, 3]], 'E62-650']]",[],G,,['SP'],0,0
14.399,14,['l'],"[[[[98, 2]], 'E51-395']]",[],[],G,,['SP'],0,0
14.44,14,"['r', 'l']","[[[[40, 3], [100, 3]], 'E51-149']]","[[[[130, 2]], 'E51-149']]",[],U,15.037,['SP'],6.3,56
14.44,14,['l'],"[[[[13, 3], [73, 3]], 'E62-650']]",[],[],G,15.473,['SP'],6.2,8.5
14.441,14,['l'],"[[[[2, 3], [62, 3]], 'E62-650']]",[],[],G,15.471,['SP'],5.7,20
14.444,14,"['r', 'l']","[[[[43, 3], [103, 3]], 'E51-149']]","[[[[132, 2]], 'E51-149']]",[],G,15.038,['SP'],6.4,69
14.448,14,['l'],"[[[[122, 6]], 'E62-650']]",[],[],G,15.474,['SP'],0,0
14.449,14,['l'],"[[[[38, 2]], 'E62-675']]",[],[],G,15.475,"['FA', 'JA', 'SU', 'SP']",6.7,12
14.453,14,"['r', 'l']","[[[[32, 3], [92, 3]], 'E51-151']]","[[[[122, 3]], 'E51-151']]",[],G,,['SP'],5,25.5
14.454,14,"['r', 'l']","[[[[32, 3], [92, 3]], 'E51-151']]","[[[[122, 3]], 'E51-151']]",[],G,,['SP'],5.5,24
14.462,14,"['r', 'l']","[[[[40, 3], [100, 3]], 'E51-376']]","[[[[130, 3]], 'E51-376']]",[],G,,['SP'],6.3,6
14.471,14,"['r', 'l']","[[[[10, 3], [70, 3]], 'E52-432']]","[[[[128, 2]], 'E51-361']]",[],G,,['SP'],6,14
14.475,14,"['l', 'r']","[[[[35, 3], [95, 3]], 'E51-361']]","[[[[124, 3]], 'E51-372']]",[],G,,['SP'],0,0
14.582,14,"['l', 'r']","[[[[5, 3], [65, 3]], 'E51-361']]","[[[[125, 3]], 'E51-361']]",[],G,,['SP'],6.8,3.5
14.662,14,"['l', 'r']","[[[[2, 3], [62, 3]], 'E51-395']]","[[[[68, 2]], 'E51-376']]",[],G,,['SP'],6.7,14.5
14.662A,14,"['r', 'l']","[[[[2, 3], [62, 3]], 'E51-395']]","[[[[68, 2]], 'E51-376']]",[],G,,['SP'],0,0
14.75,14,"['r', 'l']","[[[[10, 3], [70, 3]], 'E51-361']]","[[[[130, 2]], 'E51-145'], [[[128, 2]], 'E51-145']]",[],U,,['SP'],5.2,28
14.75,14,"['l', 'r']","[[[[10, 3], [70, 3]], 'E51-361']]","[[[[130, 2]], 'E51-145'], [[[128, 2]], 'E51-145']]",[],G,,['SP'],5.2,28
14.76,14,"['l', 'r']","[[[[2, 3], [62, 3]], 'E51-151']]","[[[[122, 2]], 'E51-149']]",[],U,,['SP'],0,0
14.76,14,"['r', 'l']","[[[[2, 3], [62, 3]], 'E51-151']]","[[[[122, 2]], 'E51-149']]",[],G,,['SP'],0,0
14.772,14,"['l', 'r']","[[[[43, 3], [103, 3]], 'E51-361']]","[[[[98, 2]], 'E51-151']]",[],G,,['SP'],6.3,3
14.THG,14,[],[],[],[],G,,"['FA', 'JA', 'SU', 'SP']",5.4,79.5
14.THU,14,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
14.UR,14,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
14.URG,14,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
15.002,15,[],[],[],[],G,,"['FA', 'JA', 'SU', 'SP']",0,0
15.003,15,[],[],[],[],G,,"['FA', 'SU', 'SP']",5.6,44.7
15.018,15,['l'],"[[[[76, 6]], 'E51-345']]",[],[],G,,['SP'],0,0
15.025,15,['l'],"[[[[34, 3], [94, 3]], 'E62-223'], [[[40, 3], [100, 3]], 'E62-223']]",[],[],G,,['SP'],5.8,95.5
15.0251,15,['l'],"[[[[34, 3], [94, 3]], 'E62-223'], [[[40, 3], [100, 3]], 'E62-223']]",[],[],U,,['SP'],5.8,95.5
15.032,15,['l'],"[[[[35, 3], [95, 3]], '37-212']]",[],[],G,"6.695, IDS.505",['SP'],5.9,21.5
15.037,15,"['l', 'r']","[[[[40, 3], [100, 3]], 'E51-149']]","[[[[130, 2]], 'E51-149']]",[],U,14.44,['SP'],6.3,56
15.038,15,"['l', 'r']","[[[[43, 3], [103, 3]], 'E51-149']]","[[[[132, 2]], 'E51-149']]",[],G,14.444,['SP'],6.4,69
15.039,15,"['r', 'l']","[[[[35, 3], [95, 3]], 'E51-149']]","[[[[126, 2]], 'E51-149']]",[],U,14.26,['SP'],0,0
15.053,15,"['l', 'r']","[[[[4, 3], [64, 3]], 'E51-325'], [[[13, 3], [73, 3]], 'E51-325']]","[[[[126, 2]], 'E51-085'], [[[130, 2]], 'E51-085'], [[[132, 2]], 'E51-085']]",[],U,,['SP'],6.2,83
15.07,15,['l'],"[[[[13, 3], [73, 3]], '4-149']]",[],[],G,6.265,['SP'],6.4,13
15.071,15,"['r', 'l']","[[[[10, 3], [70, 3]], 'E51-345'], [[[34, 3], [94, 3]], 'E51-335'], [[[13, 3], [73, 3]], 'E51-345'], [[[31, 3], [91, 3]], 'E51-335']]","[[[[100, 2]], 'E51-361'], [[[106, 2]], 'E52-164'], [[[92, 2]], 'E51-345']]",[],G,,"['FA', 'SP']",6.2,258.3
15.0711,15,"['l', 'r']","[[[[13, 3], [73, 3]], 'E51-345'], [[[10, 3], [70, 3]], 'E51-345'], [[[31, 3], [91, 3]], 'E51-335'], [[[34, 3], [94, 3]], 'E51-335']]","[[[[106, 2]], 'E52-164'], [[[92, 2]], 'E51-345'], [[[100, 2]], 'E51-361']]",[],U,,['SP'],5.3,11.5
15.075,15,"['l', 'b']","[[[[7, 3], [67, 3]], 'E51-149'], [[[4, 3], [64, 3]], 'E51-149']]",[],"[[[[134, 2]], 'E52-164'], [[[132, 2]], 'E52-164']]",U,IDS.013,['SP'],5.8,63.5
15.076,15,"['l', 'r']","[[[[7, 3], [67, 3]], 'E51-315']]","[[[[127, 2]], 'E51-315']]",[],U,,['SP'],0,0
15.077,15,"['r', 'l']","[[[[16, 3], [76, 3]], 'E51-325']]","[[[[46, 2]], 'E51-395']]",[],G,IDS.147,['SP'],5.2,16
15.083,15,"['r', 'l']","[[[[1, 3], [61, 3]], 'E62-250']]","[[[[126, 2]], 'E51-151']]",[],G,,['SP'],6.1,22
15.084,15,"['r', 'l']","[[[[36, 3], [96, 3]], 'E25-111']]","[[[[124, 2]], '36-153'], [[[126, 2]], '36-153']]",[],G,6.252,['SP'],5,26
15.089,15,['l'],"[[[[10, 3], [70, 3]], 'E62-223']]",[],[],G,,"['JA', 'SU', 'SP']",0,0
15.094,15,"['r', 'l']","[[[[16, 3], [76, 3]], 'E51-315']]","[[[[126, 2]], 'E51-345']]",[],G,1.142,['SP'],6.1,33
15.141,15,['l'],"[[[[34, 3], [94, 3]], 'E51-325']]",[],[],G,HST.918,['SP'],5.5,48
15.216,15,['l'],"[[[[46, 3], [106, 3]], 'E51-149']]",[],[],G,,['SP'],6.2,14
15.218,15,['l'],"[[[[34, 3], [94, 3]], 'E62-262'], [[[31, 3], [91, 3]], 'E62-262']]",[],[],G,,['SP'],6.6,58.5
15.225,15,['l'],"[[[[31, 3], [91, 3]], 'E51-325']]",[],[],G,,['SP'],4.6,66.5
15.232,15,['l'],"[[[[40, 3], [100, 3]], 'E51-335']]",[],[],G,,['SP'],5.6,44.5
15.236,15,['l'],"[[[[49, 3], [109, 3]], 'E51-325']]",[],[],G,,['SP'],0,0
15.239,15,['l'],"[[[[43, 3], [103, 3]], 'E62-250']]",[],[],G,11.257,['SP'],0,0
15.2391,15,['l'],"[[[[43, 3], [103, 3]], 'E62-250']]",[],[],U,11.157,['SP'],0,0
15.268,15,['l'],"[[[[124, 4]], 'E51-325']]",[],[],G,,['SP'],7,25
15.27,15,['l'],"[[[[10, 3], [70, 3]], 'E62-276']]",[],[],G,,['SP'],5.4,43
15.276,15,['l'],"[[[[40, 3], [100, 3]], 'E62-221'], [[[14, 3], [74, 3]], 'E62-221'], [[[37, 3], [97, 3]], 'E62-221']]",[],[],U,,"['FA', 'SP']",5.8,51
15.279,15,['l'],"[[[[43, 3], [103, 3]], 'E62-221']]",[],[],U,,"['FA', 'SP']",5.7,17.8
15.281,15,['l'],"[[[[34, 3], [94, 3]], 'E62-221'], [[[13, 3], [73, 3]], 'E62-250'], [[[10, 3], [70, 3]], 'E62-250'], [[[40, 3], [100, 3]], 'E62-250']]",[],[],G,,['SP'],6.4,102.5
15.283,15,['l'],"[[[[76, 6]], 'E51-151']]",[],[],G,,['SP'],6.8,31
15.285,15,['l'],"[[[[46, 6]], 'E62-223']]",[],[],G,,['SP'],0,0
15.286,15,['l'],"[[[[34, 3], [94, 3]], 'E51-345'], [[[13, 3], [73, 3]], 'E51-145'], [[[40, 3], [100, 3]], 'E62-233'], [[[10, 3], [70, 3]], 'E51-149']]",[],[],G,,['SP'],6.4,106
15.305,15,[],[],[],[],U,,"['FA', 'SP']",6.3,17.7
15.317,15,['l'],"[[[[19, 3], [79, 3]], 'E62-250']]",[],[],G,,"['SU', 'SP']",5.3,47.5
15.321,15,['l'],"[[[[46, 6]], 'E62-233']]",[],[],G,,"['FA', 'SP']",6.2,33.4
15.323,15,['l'],"[[[[67, 3]], 'E62-250']]",[],[],G,,['SP'],6.5,10.5
15.326,15,['l'],"[[[[19, 3]], 'E51-WONG']]",[],[],G,,['SP'],3.9,110
15.335,15,['l'],"[[[[46, 6]], 'E52-164']]",[],[],G,,['SP'],0,0
15.336,15,['l'],"[[[[61, 6]], 'E62-262'], [[[103, 6]], 'E62-262']]",[],[],G,,['SP'],0,0
15.341,15,['l'],"[[[[62, 6]], 'E62-346']]",[],[],G,,['SP'],6.8,4
15.347,15,['l'],"[[[[122, 6]], 'E53-354']]",[],[],G,,['SP'],6.4,10
15.351,15,['l'],"[[[[40, 3]], 'E40-160']]",[],[],G,2.351,"['FA', 'SP']",5.8,28.2
15.356,15,['l'],"[[[[16, 4], [76, 4]], 'E51-395']]",[],[],G,,['SP'],6.4,12
15.358,15,['l'],"[[[[106, 6]], 'E62-276']]",[],[],G,,['SP'],6,54
15.363,15,['l'],"[[[[79, 6]], 'E25-111']]",[],[],G,HST.971,['SP'],6.3,27.3
15.364,15,['l'],"[[[[49, 6]], 'E62-262']]",[],[],G,,['SP'],6.1,29
15.367,15,"['l', 'r']","[[[[106, 4]], 'Virtual']]","[[[[44, 2]], 'Virtual']]",[],G,HST.978,['SP'],5.2,24
15.369,15,['l'],"[[[[19, 4], [79, 4]], 'E51-372']]",[],[],G,,['SP'],5,28.3
15.371,15,"['b', 'l']","[[[[44, 4]], '4-261']]",[],"[[[[123, 6]], '4-261']]",G,"2.907, 10.807","['FA', 'SP']",6.3,13.7
15.373,15,['l'],"[[[[3, 3], [63, 3]], '9-354']]",[],[],U,"2.912, 3.085",['SP'],5.6,29.5
15.374,15,['l'],"[[[[1, 3], [61, 3]], 'E51-335']]",[],[],G,,['SP'],4,109
15.376,15,['l'],"[[[[94, 4]], 'E14-633']]",[],[],G,MAS.664,['SP'],5.4,68
15.378,15,['l'],"[[[[50, 6]], 'E51-335'], [[[20, 6]], 'E40-160']]",[],[],G,,"['FA', 'SP']",6.8,11.8
15.383,15,['l'],"[[[[4, 3], [64, 3]], 'E62-250']]",[],[],G,,['SP'],0,0
15.386,15,"['r', 'l']","[[[[34, 3], [94, 3]], 'E51-345']]","[[[[73, 3]], 'E62-276']]",[],G,,"['FA', 'SP']",5.9,112.2
15.387,15,['l'],"[[[[16, 3], [76, 3]], 'E51-335']]",[],[],G,,"['FA', 'SP']",6.3,69.2
15.39,15,['l'],"[[[[16, 3], [76, 3]], 'E62-233'], [[[13, 3], [73, 3]], '32-155']]",[],[],G,,"['FA', 'SP']",5.6,86.2
15.3901,15,"['l', 'r']","[[[[13, 3], [73, 3]], '32-155']]","[[[[130, 2]], 'E40-160']]",[],U,,"['FA', 'SP']",5.3,46.6
15.392,15,['l'],"[[[[49, 3], [109, 3]], 'E51-395']]",[],[],G,,['SP'],6.8,34.5
15.394,15,['l'],"[[[[43, 3], [103, 3]], 'E51-325'], [[[40, 3], [100, 3]], 'E51-325']]",[],[],G,,['SP'],6.4,45.5
15.3941,15,['l'],"[[[[40, 3], [100, 3]], 'E51-325'], [[[43, 3], [103, 3]], 'E51-325']]",[],[],U,,['SP'],0,0
15.398,15,"['l', 'r']","[[[[79, 4]], 'E62-223']]","[[[[46, 2]], 'E62-346'], [[[92, 2]], 'E62-346'], [[[32, 2]], 'E62-346'], [[[34, 2]], 'E62-346'], [[[94, 2]], 'E62-346'], [[[106, 2]], 'E62-346']]",[],G,,"['FA', 'SP']",6.3,124.5
15.399,15,['l'],"[[[[52, 6]], 'E51-325']]",[],[],G,,"['FA', 'SP']",5.6,22.8
15.3991,15,['l'],"[[[[52, 6]], 'E51-325']]",[],[],U,,"['FA', 'SP']",5.5,3.8
15.401,15,"['r', 'l']","[[[[10, 3], [70, 3]], 'E51-145'], [[[43, 3], [103, 3]], 'E51-145'], [[[40, 3], [100, 3]], 'E51-145'], [[[4, 3], [64, 3]], 'E52-164']]","[[[[122, 2]], 'E51-335'], [[[124, 2]], 'E51-345'], [[[68, 2]], 'E51-151']]",[],G,,"['FA', 'SP']",5.9,211.6
15.402,15,['l'],"[[[[13, 3], [73, 3]], 'E52-164'], [[[34, 3], [94, 3]], 'E62-276'], [[[10, 3], [70, 3]], 'E52-164'], [[[40, 3], [100, 3]], 'E62-262']]",[],[],G,,"['FA', 'SP']",6.2,137.2
15.417,15,"['l', 'b', 'r']","[[[[43, 3], [103, 3]], 'E51-145'], [[[40, 3], [100, 3]], 'E51-145']]","[[[[124, 2]], 'E51-345'], [[[68, 2]], 'E51-151']]","[[[[130, 6]], 'E62-221']]",U,,['SP'],5.6,15.5
15.428,15,['l'],"[[[[46, 3], [106, 3]], '9-354']]",[],[],G,"11.434, IDS.720",['SP'],5.2,19
